%type,name,D,kbs,Df
ハイベースNEO,EB150-4-24,150,1.40e+10,500
ハイベースNEO,EB175-4-24,175,1.79e+10,520
ハイベースNEO,EB200-4-24,200,2.19e+10,550
ハイベースNEO,EB250-4-24,250,3.22e+10,600
ハイベースNEO,EB300-8-30,300,6.94e+10,700
ハイベースNEO,GB350-4-42,350,1.28e+11,740
ハイベースNEO,GB400-8-36,400,2.34e+11,820
ハイベースNEO,GB450-8-42,450,3.48e+11,890
ハイベースNEO,GB500-8-48,500,4.89e+11,1000
ハイベースNEO,GB550-8-48,550,5.80e+11,1050
ハイベースNEO,GB600-12-48,600,9.53e+11,1100
ハイベースNEO,GB650-8-64,650,1.08e+12,1200
ハイベースNEO,GB700-8-64,700,1.28e+12,1300
ハイベースNEO,GB750-12-56,750,1.70e+12,1300
ハイベースNEO,GB800-12-56,800,1.93e+12,1350
ハイベースNEO,GB850-12-56,850,2.16e+12,1500
ハイベースNEO,GB900-12-64,900,2.77e+12,1800
ハイベースNEO,GB950-12-64,950,3.00e+12,1800
ハイベースNEO,GB1000-12-64,1000,3.39e+12,1800
ハイベースNEO,GB1050-12-64,1050,3.73e+12,1850
ハイベースNEO,GB1100-12-64,1100,4.11e+12,1850
ハイベースNEO,GB1150-12-64,1150,4.49e+12,2400
ハイベースNEO,GB1200-12-64,1200,4.91e+12,2400
